광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,생활서비스,화물운송업,택배업,0,0,25,58723000,2713,2348920,21645
경기,김포시,202012,생활서비스,화물운송업,화물운송,3,1,35,29998000,382,857094,78530
경기,김포시,202012,생활서비스,자동차정비,세차/광택,0,0,1,500000,1,500000,500000
경기,김포시,202012,생활서비스,세탁소,세탁소,5,1,152,80448000,5082,529264,15830
경기,김포시,202012,생활서비스,사회단체,종교단체,0,0,2,392000,15,196000,26133
경기,김포시,202012,문화레져,전시/관람/체험,자연학습원,0,0,12,10895000,242,907917,45021
경기,김포시,202012,문화레져,전시/관람/체험,테마카페,0,0,4,868000,92,216975,9434
경기,김포시,202012,문화레져,종교,종교용품,0,0,3,1711000,8,570167,213813
경기,김포시,202012,문화레져,화원,꽃집/꽃배달,3,1,99,91751000,1550,926773,59194
경기,김포시,202012,문화레져,화원,분재,0,0,1,58000,1,58000,58000
경기,김포시,202012,문화레져,화원,화훼/조경,0,0,4,6876000,93,1719069,73938
경기,김포시,202012,생활서비스,기계/장비대여,건설장비 대여,0,0,1,4620000,4,4620000,1155000
경기,김포시,202012,생활서비스,기계/장비대여,정밀기기 대여,7,0,38,56251000,381,1480291,147641
